Ref,Val,Package,PosX,PosY,Rot,Side
"J14","Micro_SD_Card_Det_JAE_ST11","microSD_JAE_ST11S008V4H",-15.000000,30.000000,-90.000000,top
"J15","10118194","USB_Micro-B_Amphenol_10118194_Horizontal",38.600000,72.200000,90.000000,top
"J16","FH12A-20S-0.5SH","Hirose_FH12-20S-0.5SH_1x20-1MP_P0.50mm_Horizontal",0.300000,81.500000,-90.000000,top
"J101","2842142-4","PinHeader_2x04_P2.00mm_Vertical_SMD_AMPMODU",61.000000,27.250000,90.000000,top
"J201","2314844-8","PinSocket_2x04_P2.00mm_Vertical_SMD_Bottom_or_Top_Entry_AMPMODU",51.000000,61.250000,0.000000,top
"J202","FH12A-20S-0.5SH","Hirose_FH12-20S-0.5SH_1x20-1MP_P0.50mm_Horizontal",49.000000,73.250000,-90.000000,top
"L1","4.7uH","L_Coilcraft_XAL5030",5.750000,9.300000,90.000000,top
"L2","3.3uH","L_Coilcraft_XAL5030",20.350000,9.300000,90.000000,top
"LED201","IN-P32TATRGB","LED_Avago_PLCC4_3.2x2.8mm_CW",63.000000,58.250000,180.000000,top
"LED202","IN-P32TATRGB","LED_Avago_PLCC4_3.2x2.8mm_CW",63.000000,50.250000,180.000000,top
"LED203","IN-P32TATRGB","LED_Avago_PLCC4_3.2x2.8mm_CW",63.000000,42.250000,180.000000,top
"MIC101","SPH0641LU4H-1","Knowles_LGA-5_3.5x2.65mm",48.230000,15.250000,90.000000,top
"Module1","ComputeModule4-CM4","Raspberry-Pi-4-Compute-Module-no-holes",4.500000,16.000000,0.000000,top
"Q1","Si7113ADN","Vishay_PowerPAK_1212-8_Single",11.075000,17.750000,90.000000,top
"Q2","Si7113ADN","Vishay_PowerPAK_1212-8_Single",19.450000,17.750000,90.000000,top
"Q3","Si7113ADN","Vishay_PowerPAK_1212-8_Single",39.105600,-1.357500,90.000000,top
"Q4","NX3008NBKW","SOT-323_SC-70",33.850000,68.550000,-90.000000,top
"Q5","NX3008NBKW","SOT-323_SC-70",15.000000,29.200000,0.000000,top
"Q6","NX3008NBKW","SOT-323_SC-70",15.000000,32.300000,0.000000,top
"Q7","NX3008NBKW","SOT-323_SC-70",15.000000,35.400000,0.000000,top
"Q8","NX3008NBKW","SOT-323_SC-70",11.050000,59.000000,180.000000,top
"Q9","NX3008NBKW","SOT-323_SC-70",15.000000,47.300000,180.000000,top
"Q10","NX3008NBKW","SOT-323_SC-70",15.000000,41.300000,180.000000,top
"Q11","NX3008NBKW","SOT-323_SC-70",15.000000,44.300000,180.000000,top
"R1","DNP","R_0603_1608Metric",10.800000,53.700000,0.000000,top
"R2","DNP","R_0603_1608Metric",10.800000,55.200000,0.000000,top
"R3","DNP","R_0603_1608Metric",7.150000,45.000000,90.000000,top
"R4","1k","R_0603_1608Metric",4.550000,-1.950000,180.000000,top
"R5","1k","R_0603_1608Metric",-4.050000,0.750000,-90.000000,top
"R6","10k","R_0603_1608Metric",19.150000,20.900000,180.000000,top
"R7","100k","R_0603_1608Metric",14.400000,14.650000,0.000000,top
"R8","100k","R_0603_1608Metric",22.775000,14.650000,0.000000,top
"R9","1M","R_0603_1608Metric",14.400000,16.150000,0.000000,top
"R10","1M","R_0603_1608Metric",22.775000,16.150000,0.000000,top
"R11","100k","R_0603_1608Metric",35.100000,-5.150000,180.000000,top
"R12","100k","R_0603_1608Metric",10.400000,2.150000,180.000000,top
"R13","100k","R_0603_1608Metric",23.350000,2.490000,180.000000,top
"R14","100k","R_0603_1608Metric",9.800000,-0.170000,-90.000000,top
"R15","23.7k","R_0603_1608Metric",7.550000,0.600000,180.000000,top
"R16","100k","R_0603_1608Metric",22.870000,0.660000,180.000000,top
"R17","37.4k","R_0603_1608Metric",20.650000,-0.100000,90.000000,top
"R18","DNP","R_0402_1005Metric",12.200000,95.245000,180.000000,top
"R19","0R","R_0402_1005Metric",11.700000,95.745000,-90.000000,top
"R20","0R","R_0402_1005Metric",11.700000,93.845000,-90.000000,top
"R21","10k","R_0603_1608Metric",-1.950000,10.000000,0.000000,top
"R22","DNP 15k","R_0603_1608Metric",-1.950000,8.500000,0.000000,top
"R23","0R","R_0603_1608Metric",2.950000,22.800000,180.000000,top
"R24","100k","R_0603_1608Metric",-3.459200,42.082800,180.000000,top
"R25","23.7k","R_0603_1608Metric",34.498008,20.501992,135.000000,top
"R26","23.7k","R_0603_1608Metric",36.598008,22.601992,135.000000,top
"R27","23.7k","R_0603_1608Metric",34.500000,24.700000,135.000000,top
"R28","1k","R_0603_1608Metric",35.548008,21.551992,135.000000,top
"R29","510k","R_0603_1608Metric",-3.450000,51.900000,0.000000,top
"R30","510k","R_0603_1608Metric",-3.450000,50.400000,0.000000,top
"R31","1k","R_0603_1608Metric",33.150000,66.050000,0.000000,top
"R32","1k","R_0603_1608Metric",33.150000,64.550000,0.000000,top
"R33","10k","R_0603_1608Metric",12.550000,29.200000,-90.000000,top
"R34","1k","R_0603_1608Metric",22.425000,37.275000,-90.000000,top
"R35","0.1R","R_0603_1608Metric",14.300000,6.300000,90.000000,top
"R36","0.1R","R_0603_1608Metric",30.150000,1.700000,-90.000000,top
"R37","10k","R_0603_1608Metric",12.550000,32.300000,90.000000,top
"R38","10k","R_0603_1608Metric",12.550000,35.400000,-90.000000,top
"R39","10k","R_0603_1608Metric",15.000000,39.200000,0.000000,top
"R40","10k","R_0603_1608Metric",15.000000,37.650000,0.000000,top
"R41","10k","R_0603_1608Metric",17.450000,41.300000,90.000000,top
"R42","10k","R_0603_1608Metric",17.450000,44.300000,90.000000,top
"R43","10k","R_0603_1608Metric",17.450000,47.300000,90.000000,top
"R44","1k","R_0603_1608Metric",20.840000,37.280000,90.000000,top
"R45","10k","R_0603_1608Metric",12.500000,41.300000,90.000000,top
"R46","10k","R_0603_1608Metric",12.500000,44.300000,90.000000,top
"R101","22R","R_0402_1005Metric",51.400000,13.900000,0.000000,top
"R102","22R","R_0402_1005Metric",51.400000,16.650000,0.000000,top
"R103","100k","R_0603_1608Metric",54.600000,26.150000,0.000000,top
"R201","22k","R_0603_1608Metric",59.450000,59.850000,-90.000000,top
"R202","22k","R_0603_1608Metric",59.650000,51.850000,-90.000000,top
"R203","22k","R_0603_1608Metric",59.550000,43.950000,-90.000000,top
"R204","39k","R_0603_1608Metric",58.550000,56.800000,-90.000000,top
"R205","39k","R_0603_1608Metric",63.650000,52.750000,0.000000,top
"R206","39k","R_0603_1608Metric",63.650000,44.850000,0.000000,top
"R207","10k","R_0603_1608Metric",63.650000,55.800000,0.000000,top
"R208","10k","R_0603_1608Metric",63.650000,54.250000,0.000000,top
"R209","10k","R_0603_1608Metric",63.650000,46.450000,0.000000,top
"REF**","mousebite-2.5mm","mousebite-2.5mm",44.000000,23.300000,90.000000,top
"REF**","mousebite-2.5mm","mousebite-2.5mm",44.000000,82.600000,90.000000,top
"REF**","mousebite-2.5mm","mousebite-2.5mm",44.000000,8.200000,90.000000,top
"REF**","mousebite-2.5mm","mousebite-2.5mm",44.000000,60.100000,90.000000,top
"SP1","wurth-spacer-9774030151R","wurth-spacer-WA-SMSI-9774030151R",4.500000,64.000000,0.000000,top
"SP2","wurth-spacer-9774030151R","wurth-spacer-WA-SMSI-9774030151R",37.500000,64.000000,0.000000,top
"SP3","wurth-spacer-9774030151R","wurth-spacer-WA-SMSI-9774030151R",37.500000,16.000000,0.000000,top
"SP4","wurth-spacer-9774030151R","wurth-spacer-WA-SMSI-9774030151R",4.500000,16.000000,0.000000,top
"U1","74LVC1G07DCK","SOT-353_SC-70-5",-2.800000,5.000000,-90.000000,top
"U2","ESD7004","USON-10_2.5x1.0mm_P0.5mm",30.150000,15.200000,-45.000000,top
"U3","DZDH0401DW","SOT-363_SC-70-6",11.075000,14.150000,180.000000,top
"U4","DZDH0401DW","SOT-363_SC-70-6",19.475000,14.125000,180.000000,top
"U5","LM60440DRPK","WQFN-HR-13",5.850000,3.300000,0.000000,top
"U6","LM60440DRPK","WQFN-HR-13",20.450000,3.300000,0.000000,top
"U7","Sierra_Wireless_RC7620","Cellular_Modem-Sierra-Wireless-module-CF3-ringCD",17.000000,81.800000,90.000000,top
"U8","ESD7004","USON-10_2.5x1.0mm_P0.5mm",0.046000,20.492800,180.000000,top
"U9","PCF8574PW","SSOP-20_4.4x6.5mm_P0.65mm",1.200000,94.300000,0.000000,top
"U10","ESD7004","USON-10_2.5x1.0mm_P0.5mm",-0.850000,40.050000,90.000000,top
"U11","ESD7004","USON-10_2.5x1.0mm_P0.5mm",-3.900000,40.050000,90.000000,top
"U12","CP2102N-Axx-xQFN24","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",30.250000,23.200000,45.000000,top
"U13","DS3231MZ","SOIC-8_3.9x4.9mm_P1.27mm",-2.150000,56.600000,90.000000,top
"U14","74LVC1G07DCK","SOT-353_SC-70-5",-2.600000,48.050000,90.000000,top
"U15","FSUSB42MX","MSOP-10_3x3mm_P0.5mm",30.650000,71.300000,90.000000,top
"U16","ESD7004","USON-10_2.5x1.0mm_P0.5mm",34.100000,71.850000,180.000000,top
"U101","PCMD3180","QFN-24-1EP_4x4mm_P0.5mm_EP2.65x2.65mm_ThermalVias",50.400000,28.850000,0.000000,top
